0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-210.11519,-2.6344435,0.5444354,-203.87325,-4.344937,-0.88228226,68.09282,14.9554,11.074208,-1.7695174,6.158418,3.2812562,4.76168,54.158703,18.02243,-101.33095,158.70703,78.76341,-487.78726,-26.11525,-21.573153
-240.95609,-3.5723078,-2.6388047,-204.91928,-3.8772259,-3.4841328,131.80763,15.399762,9.994871,-1.7350512,4.821977,3.1909156,2.3681664,37.872845,18.563593,-94.16032,145.83229,75.87854,-664.72626,-32.183296,-20.340353
-244.25256,-3.6512024,-1.3618852,-234.00926,-5.449333,-2.4129121,97.42733,15.474354,9.91451,-1.0970607,6.043098,2.9399762,0.35867047,52.942104,15.430267,-104.51833,160.20442,67.888565,-476.7545,-36.45868,-24.980343
-214.68698,-2.7063568,-0.058749735,-205.32733,-4.2566676,-0.9765142,67.28714,14.843201,10.1541605,-2.203325,5.3763547,3.2002296,7.274144,44.82198,16.858648,-123.57431,147.55597,68.17641,-507.92392,-27.947353,-19.606218
-228.77211,-4.8460894,-2.1907396,-212.065,-5.9463186,-2.9652965,97.555855,15.1063175,10.571619,-1.2907113,4.89724,2.662249,0.83494663,37.931667,13.274113,-107.921974,140.50598,62.798096,-481.67648,-29.748781,-27.169437
-228.69414,-3.50852,-0.8793072,-200.91243,-4.56497,-2.0786984,129.1108,16.66209,10.955655,-1.8240039,6.1140842,3.1607907,3.1507993,55.372475,15.59704,-82.394104,179.43463,68.60417,-662.20807,-28.139193,-23.33575
-220.6747,-2.3345401,0.6619893,-201.3121,-3.200157,-0.54245037,95.35197,14.757307,10.029964,-1.6754136,5.9775662,3.0002234,2.299055,50.978622,16.470411,-105.67082,149.69296,77.106415,-502.73184,-27.466171,-19.039326
-213.87807,-2.9963894,-0.5488229,-204.05179,-4.591693,-1.4952906,79.071724,14.99522,10.153132,-1.5760562,4.950761,2.682089,2.7872,37.090668,13.234217,-108.971176,138.89468,67.66727,-477.78702,-30.048119,-21.760862
-239.09131,-3.613278,-0.83743083,-215.61116,-5.328768,-2.427526,100.97893,16.127703,10.795914,-1.516496,5.3061585,3.0003254,1.4840937,42.568466,14.386425,-119.33979,158.47665,68.3745,-511.61984,-36.372055,-20.616821
-214.27974,-4.083781,-2.7923605,-198.09895,-6.18559,-4.2522526,84.40009,15.539126,10.353587,-1.8427589,5.8040137,2.9141185,3.6001282,46.635925,15.925417,-99.78001,151.20451,72.937515,-502.6461,-28.183537,-26.108994
-236.67365,-4.9038014,-1.8483722,-212.85895,-6.0860767,-2.579289,110.69561,14.551367,10.426931,-1.4892967,5.2073174,2.9733021,1.7398181,41.175484,16.782509,-104.22473,136.32074,71.769035,-684.9125,-29.431477,-20.410027
-209.21635,-3.4132774,-0.6240138,-212.92409,-5.0319467,-1.4956338,43.13671,15.141064,9.980641,0.07437279,5.0987387,3.1254072,-1.2974381,40.029922,17.788816,-123.147064,145.96269,74.688934,-303.1135,-26.396137,-22.23487
-216.84328,-3.1933758,0.3260414,-204.96304,-4.8770585,-0.3692866,82.61588,14.90296,10.170113,-1.8860754,5.3896503,2.8979127,3.9108691,42.91986,16.365572,-106.61572,142.68436,78.15045,-498.27835,-27.337812,-18.333643
-227.72197,-2.9674459,-0.95581883,-218.14136,-4.817902,-2.5175886,84.756,15.501371,10.89451,-1.577088,6.001769,2.9149632,2.4681091,52.094753,15.132265,-115.949905,160.86728,78.58907,-499.08554,-29.351845,-20.115065
